paragraph_id,section,paragraph_function,core_claim,source_ids,note_ids,claim_ids,concepts,mechanisms,variables_parameters,validation_status,draft_ready,reviewer_comment
P01,Introduction: why this literature matters for land rent and financialization,define object,"State why land-rent financialization requires separating land, rent, price, wealth, credit, and productive capital.",MULTI; PDF009,C1_Q01; C1_Q02; C1_Q03; C1_Q04; C1_Q05,CLM_C1_Q01_001; CLM_C1_Q01_002; CLM_C1_Q02_002; CLM_C1_Q03_002; CLM_C1_Q04_002; CLM_C1_Q05_002,land,land speculation crowds out productive capital,D_t/r_t; K_t; W,needs_page; validated_paraphrase,false,Risk of concept conflation: risk of conflating wealth with capital. Do not draft from unsupported or unpaged claims.
P02,Introduction: why this literature matters for land rent and financialization,transition,Introduce the SHT branch as a bounded theory corpus for the memo.,PDF002; PDF004; PDF008,PDF002_Q01; PDF004_Q05; PDF008_Q06,CLM_PDF002_Q01_006; CLM_PDF004_Q05_004; CLM_PDF004_Q05_005; CLM_PDF004_Q05_006; CLM_PDF008_Q06_001; CLM_PDF008_Q06_002,land,land changes R versus G and debt-rollover conditions; land speculation crowds out productive capital; real-estate credit amplifies land-price inflation; unbalanced growth separates land prices from rents,elasticity of substitution; collateral parameter; D_t/r_t,validated_paraphrase,true,Risk of concept conflation: risk of importing external literatures too early. Do not draft from unsupported or unpaged claims.
P03,"Method: corpus, notes, extraction protocol, screening, synthesis",appraise evidence,"Describe the corpus, note layers, extraction protocol, and validation statuses.",MULTI; PDF009; PDF011,C3_Q02; PDF009_Q01; PDF011_Q07,CLM_C3_Q02_001; CLM_PDF009_Q01_003; CLM_PDF011_Q07_006,land,land changes R versus G and debt-rollover conditions; real-estate credit amplifies land-price inflation,W,needs_page; validated_paraphrase,false,Risk of concept conflation: risk of treating notes as final prose. Do not draft from unsupported or unpaged claims.
P04,"Method: corpus, notes, extraction protocol, screening, synthesis",transition,Explain the reconstruction-before-critique sequence.,PDF014,C5_Q01; C5_Q02; C5_Q03; C5_Q04; C5_Q05; C6_Q01,CLM_C5_Q01_003; CLM_C5_Q02_003; CLM_C5_Q03_003; CLM_C5_Q04_003; CLM_C5_Q05_003; CLM_C6_Q01_015,land,land changes R versus G and debt-rollover conditions,,validated_paraphrase,true,Risk of concept conflation: risk of premature Latin American critique. Do not draft from unsupported or unpaged claims.
P05,"Conceptual objects: land, rent, wealth, capital, real estate, bubble",define object,"Define land, land rent, housing rent, real estate, wealth, productive capital, land price, and bubble.",MULTI; PDF009,C1_Q01; C1_Q02; C1_Q03; C1_Q04; C1_Q05,CLM_C1_Q01_001; CLM_C1_Q01_002; CLM_C1_Q02_002; CLM_C1_Q03_002; CLM_C1_Q04_002; CLM_C1_Q05_002,land,land speculation crowds out productive capital,D_t/r_t; K_t; W,needs_page; validated_paraphrase,false,Risk of concept conflation: high concept conflation risk. Do not draft from unsupported or unpaged claims.
P06,"Conceptual objects: land, rent, wealth, capital, real estate, bubble",distinguish variables,"Separate W, K, P_t, rents/dividends, R, r, and G.",PDF009; PDF004,C1_Q01; C1_Q02; C1_Q03; C1_Q04; C1_Q05; C2_Q01,CLM_C1_Q01_002; CLM_C1_Q02_002; CLM_C1_Q03_002; CLM_C1_Q04_002; CLM_C1_Q05_002; CLM_C2_Q01_002,land,land speculation crowds out productive capital; real-estate credit amplifies land-price inflation,D_t/r_t; K_t; W,validated_paraphrase,true,Risk of concept conflation: symbol ambiguity across papers. Do not draft from unsupported or unpaged claims.
P07,Mechanism I: land-price inflation and capital-formation crowding-out,explain mechanism,Explain how land speculation and land-price inflation can crowd out productive investment.,PDF003,C3_Q01; C3_Q02; C3_Q03; C3_Q04; C3_Q05; C3_Q06,CLM_C3_Q01_002; CLM_C3_Q02_002; CLM_C3_Q03_002; CLM_C3_Q04_002; CLM_C3_Q05_002; CLM_C3_Q06_002,land,land speculation crowds out productive capital,k_{t+1},validated_paraphrase,true,Risk of concept conflation: risk of overgeneralizing model result. Do not draft from unsupported or unpaged claims.
P08,Mechanism I: land-price inflation and capital-formation crowding-out,specify causal chain,"Specify the savings, asset-price, and capital-formation chain.",PDF007; PDF010; PDF001,PDF007_Q07; PDF010_Q02; PDF010_Q06; PDF001_Q01; PDF001_Q02,CLM_PDF007_Q07_005; CLM_PDF010_Q02_006; CLM_PDF010_Q06_007; CLM_PDF001_Q01_001; CLM_PDF001_Q01_007; CLM_PDF001_Q02_007,land,land speculation crowds out productive capital; real-estate credit amplifies land-price inflation; unbalanced growth separates land prices from rents,P_t; P_t; K_t; k_{t+1}; P_t; D_t/r_t,validated_paraphrase,true,Risk of concept conflation: needs source-specific page support. Do not draft from unsupported or unpaged claims.
P09,"Mechanism II: credit expansion, collateral, leverage, and monetary policy",explain mechanism,"Explain credit, collateral, leverage, and monetary channels in land-price inflation.",PDF001; PDF003; PDF004; PDF005,PDF001_Q07; PDF003_Q02; PDF003_Q07; PDF004_Q04; PDF005_Q05,CLM_PDF001_Q07_001; CLM_PDF001_Q07_006; CLM_PDF003_Q02_005; CLM_PDF003_Q07_004; CLM_PDF004_Q04_005; CLM_PDF005_Q05_001,land,real-estate credit amplifies land-price inflation; land speculation crowds out productive capital,leverage parameter; collateral parameter; elasticity of substitution; D_t/r_t; leverage parameter; collateral parameter; k_{t+1}; leverage parameter; collateral parameter; leverage parameter; collateral parameter; r; leverage parameter; collateral parameter; K_t; k_{t+1}; leverage parameter; collateral parameter,validated_paraphrase,true,Risk of concept conflation: risk of treating all credit as mortgage credit. Do not draft from unsupported or unpaged claims.
P10,"Mechanism II: credit expansion, collateral, leverage, and monetary policy",specify causal chain,Map real-estate credit amplification into land-price and wealth effects.,PDF001; PDF008,PDF001_Q04; PDF008_Q01; PDF008_Q02; PDF008_Q05; PDF008_Q07,CLM_PDF001_Q04_001; CLM_PDF001_Q04_006; CLM_PDF008_Q01_003; CLM_PDF008_Q02_003; CLM_PDF008_Q05_003; CLM_PDF008_Q07_003,land,real-estate credit amplifies land-price inflation,W; leverage parameter; W; leverage parameter; productivity growth; W,validated_paraphrase,true,Risk of concept conflation: risk of conflating real estate with land. Do not draft from unsupported or unpaged claims.
